p,d,t
2,510,0.000514096
2,510,0.000500461
2,510,0.000486561
2,512,0.000515233
2,512,0.000512925
2,512,0.000497821
2,512,0.000506823
2,512,0.0005344
2,514,0.000529747
2,514,0.000541607
2,514,0.000502901
2,514,0.000527157
2,514,0.000524584
2,516,0.000512961
2,516,0.000541043
2,516,0.000519124
2,516,0.000501988
2,516,0.000500161
2,518,0.0005612
2,518,0.000521939
2,518,0.000544249
2,518,0.00051691
2,518,0.000521635
2,520,0.00052855
2,520,0.000508956
2,520,0.000508428
2,520,0.000514049
2,520,0.000507864
2,522,0.000810693
2,522,0.000541497
2,522,0.000515251
2,522,0.000569949
